city,      D_In_PrivacyPolicy,D_In_AwarenessDigitalThreats,D_In_PubPrivPartnerships,D_In_TechnologyEmployed,D_In_CyberSecurity,D_Out_IdentityTheft,D_Out_CompInfected,D_Out_InternetAccess,H_In_EnvironmentPolicies,H_In_AccessHealthcare,H_In_Beds_1000,H_In_Doctors_1000,H_In_AccessFood,H_In_QualityHealthServ,H_Out_AirQuality,H_Out_WaterQuality,H_Out_LifeExpectY,H_Out_InfMortality,H_Out_CancerMortality,H_Out_AttacksBioChemRad,I_In_EnforceTransportSafety,I_In_PedestrianFriendliness,I_In_QualityRoad,I_In_QualityElectricity,I_In_DisasterManagement,I_Out_DeathsDisaster,I_Out_VehicularAccidents,I_Out_PedestrianDeath,I_Out_LiveSlums,I_Out_AttacksInfrastructure,P_In_PoliceEngage,P_In_CommunityPatrol,P_In_StreetCrimeData,P_In_TechForCrime,P_In_PrivateSecurity,P_In_GunRegulation,P_In_PoliticalStability,P_Out_PettyCrime,P_Out_ViolentCrime,P_Out_OrganisedCrime,P_Out_Corruption,P_Out_DrugUse ,P_Out_TerroristAttacks ,P_Out_SeverityTerrorist,P_Out_GenderSafety,P_Out_PerceptionSafety,P_Out_ThreaTerrorism,P_Out_ThreatMilitaryConf,P_Out_ThreatCivUnrest
Mumbai,25.0,66.7,50.0,75.0,100.0,97.9,25.0,14.7,32.6,86.7,26.4,6.3,82.5,37.5,37.1,84.4,40.6,43.4,91.5,100.0,37.5,0.0,0.0,75.0,50.0,90.7,96.5,91.4,56.4,93.6,100.0,100.0,100.0,100.0,100.0,49.2,75.0,25.0,75.0,50.0,40.0,86.6,99.2,88.3,83.1,52.2,50.0,75.0,75.0
New York,100.0,100.0,100.0,100.0,100.0,85.5,50.0,74.2,95.3,93.3,21.5,40.2,99.3,87.5,91.2,83.4,85.9,95.2,18.9,25.0,77.5,100.0,75.0,100.0,100.0,96.3,58.8,84.2,94.2,97.9,100.0,100.0,100.0,100.0,100.0,34.9,80.0,50.0,75.0,75.0,74.0,73.9,98.6,99.2,91.3,52.4,50.0,100.0,50.0
Osaka,75.0,66.7,50.0,100.0,100.0,94.7,75.0,87.9,90.7,100.0,100.0,30.7,100.0,100.0,83.2,89.1,98.4,99.2,54.5,100.0,82.5,100.0,100.0,100.0,100.0,92.6,88.3,83.2,99.5,100.0,100.0,100.0,100.0,100.0,100.0,84.1,85.0,75.0,100.0,50.0,72.0,98.7,100.0,100.0,100.0,80.4,75.0,100.0,100.0
Paris,100.0,66.7,50.0,100.0,50.0,87.9,25.0,89.3,97.7,100.0,52.1,36.5,100.0,100.0,82.5,90.3,94.0,96.9,26.3,100.0,87.5,100.0,75.0,100.0,100.0,53.1,92.4,95.2,95.8,100.0,50.0,100.0,100.0,100.0,100.0,44.4,65.0,75.0,75.0,75.0,69.0,64.9,98.4,93.7,96.2,47.3,25.0,100.0,75.0
Quito,0.0,66.7,50.0,75.0,50.0,100.0,75.0,43.9,23.3,60.0,12.4,17.7,89.0,37.5,81.6,65.9,69.5,73.7,59.0,100.0,55.0,0.0,50.0,75.0,25.0,57.6,93.9,29.1,34.7,100.0,50.0,0.0,0.0,100.0,100.0,41.3,50.0,0.0,25.0,50.0,31.0,93.9,99.9,100.0,74.9,45.0,75.0,100.0,50.0
Rio de Janeiro,25.0,66.7,0.0,75.0,50.0,100.0,25.0,56.8,60.5,73.3,18.2,19.9,98.4,62.5,84.1,66.9,64.2,79.6,50.0,100.0,70.0,100.0,50.0,100.0,75.0,98.4,95.2,47.2,59.5,100.0,50.0,100.0,100.0,100.0,100.0,52.4,60.0,25.0,25.0,50.0,40.0,79.8,100.0,100.0,45.4,22.1,75.0,100.0,50.0
Riyadh,50.0,66.7,0.0,75.0,50.0,100.0,50.0,70.2,32.6,80.0,12.7,23.2,97.5,62.5,55.5,83.2,63.5,82.9,100.0,100.0,60.0,0.0,50.0,75.0,0.0,96.2,50.5,69.8,67.3,100.0,50.0,100.0,0.0,100.0,0.0,4.8,45.0,75.0,100.0,75.0,46.0,98.5,98.7,99.4,79.2,79.2,50.0,75.0,75.0
Rome,100.0,100.0,50.0,100.0,50.0,99.7,25.0,65.0,69.8,93.3,27.3,45.2,100.0,75.0,83.0,83.1,97.1,97.8,45.1,100.0,72.5,100.0,100.0,100.0,100.0,93.7,89.5,86.9,82.6,97.9,50.0,100.0,100.0,100.0,100.0,50.8,60.0,50.0,75.0,25.0,47.0,35.3,99.1,99.9,98.2,44.5,75.0,100.0,75.0
San Francisco,100.0,100.0,100.0,100.0,100.0,85.5,50.0,75.2,90.7,93.3,14.1,29.2,99.3,87.5,91.5,75.1,86.9,95.6,26.5,100.0,77.5,100.0,75.0,100.0,100.0,96.3,89.9,77.4,96.0,100.0,100.0,100.0,100.0,100.0,100.0,46.8,80.0,75.0,75.0,75.0,74.0,50.7,99.9,100.0,85.8,49.7,75.0,100.0,75.0
Santiago,50.0,66.7,50.0,75.0,50.0,100.0,25.0,63.4,48.8,80.0,16.5,10.0,99.2,62.5,71.2,86.2,90.7,91.4,49.3,100.0,45.0,100.0,75.0,100.0,100.0,87.8,87.7,45.0,83.7,89.4,50.0,0.0,100.0,100.0,100.0,33.3,80.0,50.0,50.0,75.0,66.0,59.1,97.0,99.6,91.0,47.5,100.0,100.0,75.0
Sao Paulo,25.0,66.7,0.0,75.0,50.0,100.0,25.0,56.8,60.5,80.0,18.2,19.9,98.4,62.5,81.4,50.2,64.2,79.6,50.0,100.0,70.0,100.0,75.0,75.0,75.0,98.4,96.4,47.2,59.5,97.9,50.0,100.0,100.0,100.0,100.0,52.4,60.0,25.0,25.0,50.0,40.0,79.8,99.9,100.0,45.4,27.8,75.0,100.0,50.0
Seoul,100.0,33.3,50.0,100.0,50.0,99.9,75.0,95.6,93.0,93.3,84.3,24.5,99.7,87.5,75.8,93.8,92.1,97.8,50.8,100.0,72.5,100.0,75.0,100.0,100.0,97.4,87.1,47.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.2,55.0,75.0,100.0,75.0,53.0,99.0,99.9,100.0,88.1,76.2,75.0,50.0,75.0
Shanghai,75.0,66.7,0.0,75.0,50.0,100.0,25.0,71.5,79.1,86.7,44.5,28.9,96.2,62.5,48.4,82.8,69.1,88.0,52.9,100.0,77.5,50.0,75.0,100.0,50.0,96.4,99.9,42.1,54.3,97.9,50.0,100.0,100.0,100.0,100.0,100.0,45.0,50.0,75.0,50.0,40.0,100.0,99.9,99.7,96.6,65.4,100.0,75.0,50.0
Singapore,75.0,100.0,100.0,100.0,100.0,100.0,50.0,86.0,97.7,93.3,15.7,20.6,100.0,100.0,82.0,94.9,93.7,99.1,59.6,100.0,82.5,100.0,100.0,100.0,100.0,100.0,95.9,92.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.1,80.0,100.0,100.0,100.0,84.0,98.8,100.0,100.0,98.9,83.4,75.0,100.0,100.0
Stockholm,75.0,100.0,50.0,100.0,50.0,100.0,75.0,96.8,86.0,86.7,21.5,47.1,100.0,87.5,94.5,94.6,93.6,98.6,49.3,100.0,75.0,100.0,100.0,100.0,100.0,96.7,95.2,98.5,96.4,100.0,50.0,100.0,100.0,100.0,100.0,57.1,85.0,75.0,100.0,100.0,88.0,81.6,99.6,99.9,96.9,54.2,100.0,100.0,100.0
Sydney,100.0,100.0,50.0,100.0,100.0,89.8,50.0,87.9,86.0,100.0,31.4,38.3,100.0,100.0,92.3,93.2,93.2,97.7,49.5,100.0,77.5,100.0,100.0,100.0,100.0,93.2,93.4,94.3,98.9,100.0,100.0,100.0,100.0,100.0,100.0,76.2,90.0,75.0,75.0,75.0,79.0,0.0,99.7,99.9,94.7,59.8,75.0,100.0,100.0
Taipei,75.0,66.7,100.0,100.0,100.0,0.0,50.0,80.9,97.7,86.7,75.3,14.1,96.2,87.5,81.3,87.9,84.8,96.0,43.3,100.0,77.5,100.0,75.0,75.0,75.0,90.3,92.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.1,65.0,75.0,75.0,75.0,61.0,96.1,99.9,100.0,92.9,84.2,100.0,100.0,75.0
Tehran,0.0,33.3,0.0,0.0,50.0,100.0,50.0,39.3,62.8,66.7,0.0,15.6,84.9,62.5,68.3,73.4,67.6,81.5,72.3,100.0,67.5,100.0,50.0,50.0,75.0,94.7,83.1,13.4,5.8,100.0,50.0,0.0,100.0,0.0,100.0,50.8,30.0,50.0,75.0,75.0,29.0,94.3,99.3,98.0,88.0,44.6,50.0,75.0,75.0
Tokyo,75.0,66.7,100.0,100.0,100.0,94.7,75.0,95.7,86.0,100.0,77.6,36.6,100.0,100.0,85.1,90.1,98.4,99.2,54.5,100.0,82.5,100.0,100.0,100.0,100.0,92.6,88.3,83.2,99.9,89.4,100.0,100.0,100.0,100.0,100.0,84.1,85.0,75.0,100.0,50.0,72.0,98.7,99.5,100.0,100.0,80.4,75.0,100.0,100.0
Toronto,100.0,100.0,50.0,100.0,100.0,97.9,50.0,94.1,95.3,100.0,21.5,27.4,99.8,100.0,91.6,93.4,92.0,95.6,41.3,100.0,77.5,100.0,75.0,100.0,100.0,99.6,86.5,92.4,96.5,100.0,100.0,100.0,100.0,100.0,100.0,60.3,95.0,100.0,100.0,75.0,82.0,57.4,99.9,99.9,93.8,65.1,100.0,100.0,100.0
Washington DC,100.0,100.0,50.0,100.0,100.0,85.5,50.0,79.8,100.0,93.3,13.2,100.0,99.3,87.5,91.1,79.6,71.1,95.3,0.0,50.0,77.5,100.0,75.0,100.0,100.0,96.3,0.0,76.8,98.3,100.0,100.0,100.0,100.0,100.0,100.0,76.2,80.0,75.0,75.0,75.0,74.0,62.6,99.6,100.0,63.9,35.8,75.0,100.0,75.0
Wellington,75.0,66.7,50.0,100.0,50.0,100.0,50.0,93.8,86.0,93.3,18.2,32.0,100.0,87.5,93.7,90.0,89.5,95.0,48.9,0.0,87.5,100.0,100.0,100.0,100.0,98.5,81.3,95.3,98.7,100.0,100.0,100.0,100.0,100.0,100.0,76.2,85.0,75.0,100.0,100.0,90.0,52.2,99.6,100.0,94.2,70.2,100.0,100.0,100.0
Yangon,0.0,33.3,0.0,0.0,50.0,100.0,75.0,9.4,37.2,60.0,5.0,4.4,71.2,37.5,45.6,64.5,32.0,40.9,51.1,100.0,50.0,0.0,25.0,50.0,25.0,93.2,90.2,37.5,25.6,89.4,50.0,100.0,0.0,0.0,0.0,68.3,50.0,50.0,75.0,25.0,28.0,95.1,98.5,98.2,85.4,43.2,75.0,75.0,50.0
Zurich,75.0,100.0,50.0,100.0,50.0,100.0,50.0,92.9,86.0,100.0,40.5,47.2,100.0,100.0,85.7,92.1,96.0,97.0,56.1,100.0,75.0,100.0,100.0,100.0,100.0,97.5,94.1,93.6,96.9,100.0,50.0,100.0,100.0,100.0,100.0,13.5,85.0,75.0,100.0,75.0,86.0,80.6,99.9,100.0,95.7,81.9,75.0,100.0,100.0
